"","hcid","UTMX","UTMY","elev","closest_clinic","catchment_area","closest_river","drought_i","prec","ndvi","tmax","tmin","tmean","tmeanC","date2","name","date","rdtp_u5","rdtp_a5","pos_rdt","yearmon"
"1",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,31.8891432625907,1.48799996776506,0.587000003882817,302.101427350726,287.931854248047,295.016640799386,21.8666407993862,2012-04-22,"Simaubi",2012-04-16,1,2,2,Apr 2012
"2",113,464482,8178382,1207,10862.85713,248957046,3571.639345,37.7371433803013,0.00100000004749745,0.553428573267801,301.620426722935,287.244437081473,294.432431902204,21.2824319022043,2012-04-22,"Siabunkululu",2012-04-16,3,4,4,Apr 2012
"3",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,40.4901428222656,0.239999994635582,0.578714285578046,301.510001046317,287.355856759208,294.432928902762,21.2829289027625,2012-04-22,"Nalube",2012-04-16,1,1,1,Apr 2012
"4",111,467667,8203684,1160,14287.04886,403728921.6,354.87025,36.7735715593611,0.489000005531124,0.585999991212572,302.227286202567,287.894282749721,295.060784476144,21.910784476144,2012-04-22,"Mobola",2012-04-16,2,6,6,Apr 2012
"5",110,495413,8168780,1204,19538.89434,759644033.9,1078.508669,40.4901428222656,0.239999994635582,0.578714285578046,301.510001046317,287.355856759208,294.432928902762,21.2829289027625,2012-04-22,"Mbabala",2012-04-16,4,10,10,Apr 2012
"6",109,489883,8203015,1055,7975.726801,239798716.4,479.828009,31.8891432625907,1.48799996776506,0.587000003882817,302.101427350726,287.931854248047,295.016640799386,21.8666407993862,2012-04-22,"Mapanza",2012-04-16,1,4,4,Apr 2012
"7",108,504094,8191539,1083,10207.77669,309214284.2,6673.366861,31.8891432625907,1.48799996776506,0.587000003882817,302.101427350726,287.931854248047,295.016640799386,21.8666407993862,2012-04-22,"Mangunza",2012-04-16,3,9,9,Apr 2012
"8",107,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115,37.7371433803013,0.00100000004749745,0.553428573267801,301.620426722935,287.244437081473,294.432431902204,21.2824319022043,2012-04-22,"Macha",2012-04-16,8,13,13,Apr 2012
"9",106,475899,8169766,1268,14303.26344,419002790.9,5722.102797,37.7371433803013,0.00100000004749745,0.553428573267801,301.620426722935,287.244437081473,294.432431902204,21.2824319022043,2012-04-22,"Kamwanu",2012-04-16,0,2,2,Apr 2012
"10",105,486462,8245784,1011,20171.62066,1028382139,15745.78486,32.9875711713518,1.45999995991588,0.600857138633728,302.196568080357,288.025573730469,295.111070905413,21.961070905413,2012-04-22,"Kabulamwanda",2012-04-16,0,1,1,Apr 2012
"11",104,448856,8191328,1219,13440.04423,448935561.7,2811.055333,28.6364285605295,0.112999998033047,0.606285716806139,302.667428152902,288.178859165737,295.423143659319,22.2731436593193,2012-04-22,"Habulile",2012-04-16,5,19,19,Apr 2012
"12",103,492896,8226666,1011,20171.62066,818234640.6,7359.362935,29.4402858189174,2.50199994444847,0.595714288098472,302.319144112723,288.075578962053,295.197361537388,22.0473615373883,2012-04-22,"Chitongo",2012-04-16,0,3,3,Apr 2012
"13",102,488710,8193870,1100,6747.577047,102078346.6,3139.40613,31.8891432625907,1.48799996776506,0.587000003882817,302.101427350726,287.931854248047,295.016640799386,21.8666407993862,2012-04-22,"Chilalantambo",2012-04-16,0,0,0,Apr 2012
"14",101,462089,8188978,1188,10862.85713,196111854.8,6450.007832,37.7371433803013,0.00100000004749745,0.553428573267801,301.620426722935,287.244437081473,294.432431902204,21.2824319022043,2012-04-22,"Chilala",2012-04-16,6,17,17,Apr 2012
"15",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,31.9398580278669,0.639999990351498,0.559571427958352,302.001425606864,286.211713518415,294.106569562639,20.9565695626395,2012-04-29,"Simaubi",2012-04-23,1,9,9,Apr 2012
"16",113,464482,8178382,1207,10862.85713,248957046,3571.639345,37.7882859366281,0.392999984323978,0.526285716465541,301.705714634486,285.75,293.727857317243,20.5778573172433,2012-04-29,"Siabunkululu",2012-04-23,4,17,17,Apr 2012
"17",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,39.8618578229632,0.567000003065914,0.552714288234711,301.564714704241,285.859431675502,293.712073189872,20.5620731898717,2012-04-29,"Nalube",2012-04-23,0,1,1,Apr 2012
"18",111,467667,8203684,1160,14287.04886,403728921.6,354.87025,37.5801424298967,0.645000014454126,0.557285717555455,302.10243007115,286.281428745815,294.191929408482,21.0419294084822,2012-04-29,"Mobola",2012-04-23,0,3,3,Apr 2012
