Shape *,Name,UTMX,UTMY,long,lat
Point,Bambwe,448364,8255722,26.51792,-15.776551
Point,Chitongo,492896,8226666,26.933589,-16.039755
Point,Kabulamwanda,486462,8245784,26.87355,-15.866893
Point,Namwala,441299,8258350,26.452026,-15.752637
Point,Ngabo,456433,8237731,26.592925,-15.939349
Point,Chilalantambo,488710,8193870,26.894299,-16.336223
Point,Habulile,448856,8191328,26.521122,-16.358685
Point,Kamwanu,475899,8169766,26.774107,-16.554028
Point,Mangunza,504094,8191539,27.038334,-16.357318
Point,Mapanza,489883,8203015,26.905321,-16.253556
Point,Mbabala,495413,8168780,26.957005,-16.563059
Point,Moobola,467667,8203684,26.697425,-16.247313
Point,Nalube,494046,8189740,26.944246,-16.373578
Point,Siabunkululu,464482,8178382,26.667232,-16.475998
Point,Simaubi,481916,8202642,26.83076,-16.256882
Point,Chilala,462089,8188978,26.644987,-16.380174
Point,Macha_Hospital,, ,26.791186,-16.393798
