hcid,name,UTMX,UTMY,elev,closest_clinic,catchment_area,closest_river
101,Chilala,462089,8188978,1188,10862.85713,196111854.8,6450.007832
102,Chilalantambo,488710,8193870,1100,6747.577047,102078346.6,3139.40613
103,Chitongo,492896,8226666,1011,20171.62066,818234640.6,7359.362935
104,Habulile,448856,8191328,1219,13440.04423,448935561.7,2811.055333
105,Kabulamwanda,486462,8245784,1011,20171.62066,1028382139,15745.78486
106,Kamwanu,475899,8169766,1268,14303.26344,419002790.9,5722.102797
107,Macha,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115
108,Mangunza,504094,8191539,1083,10207.77669,309214284.2,6673.366861
109,Mapanza,489883,8203015,1055,7975.726801,239798716.4,479.828009
110,Mbabala,495413,8168780,1204,19538.89434,759644033.9,1078.508669
111,Mobola,467667,8203684,1160,14287.04886,403728921.6,354.87025
112,Nalube,494046,8189740,1109,6747.577047,180701266.4,1199.13243
113,Siabunkululu,464482,8178382,1207,10862.85713,248957046,3571.639345
114,Simaubi,481916,8202642,1114,7975.726801,228760980.8,5038.897067
